fold	word	gold	pred	left_ctx	right_ctx	sentence
1	επαντρεύτηκα	VERB	NOUN	<BOS>	χωρίς	επαντρεύτηκα χωρίς τες κόρες μου
1	χωρίς	ADP	NOUN	επαντρεύτηκα	τες	επαντρεύτηκα χωρίς τες κόρες μου
1	τες	DET	PRON	χωρίς	κόρες	επαντρεύτηκα χωρίς τες κόρες μου
1	υποτίθεται	VERB	NOUN	<BOS>	εν	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εν	PART	VERB	υποτίθεται	εμπιστεύκεσαι	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εμπιστεύκεσαι	VERB	NOUN	εν	αγνώστους	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	που	PRON	ADP	κακόν	έπαθες	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	πέρσι	ADV	NOUN	έπαθες	στο	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	μια	DET	NOUN	έφερεν	δεκάδα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	την	PRON	DET	για	σαλάτα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	ακούεις	VERB	NOUN	να	της	πρέπει να ακούεις της θείας σου
1	της	PRON	DET	ακούεις	θείας	πρέπει να ακούεις της θείας σου
1	αφού	SCONJ	NOUN	μαζίν	επροσφέρθηκεν	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	νναι	PART	NOUN	<BOS>	<EOS>	νναι
1	ύστερα	ADV	NOUN	καθαρίσουμεν	τζ̆αι	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	βαρκούμαι	VERB	NOUN	εγώ	<EOS>	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	ο	DET	PRON	τζ̆αι	παπάς	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	κάθονται	VERB	NOUN	παπάς	τζ̆αι	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	διαβάζουν	VERB	NOUN	τζ̆αι	παραμύθιν	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	με	SCONJ	ADP	επήεν	το	έφυεν η μάμμα επήεν με το αυτοκίνητον
1	νίφκεται	VERB	NOUN	<BOS>	με	νίφκεται με νερόν τζ̆αι σαπούνιν
1	εγέμισε	VERB	NOUN	του	λάσπες	το παντελόνιν του εγέμισε λάσπες
1	κάθε	PRON	DET	γυμναστής	μέρα	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	εν	PART	VERB	αλλά	βάλλει	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	την 	DET	NOUN	που	αυλή	ο λαγός τρώει χόρτα που την  αυλή μας στο βουνό
1	που	PRON	ADP	πουλί	ήταν	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	την 	DET	NOUN	ήταν	άλλη	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	εν	PART	VERB	επειδή	βρίσκει	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	πλέον	ADV	NOUN	βρίσκει	νερόν	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
2	είχαν	VERB	NOUN	<BOS>	έντεκα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	έντεκα	ADJ	NOUN	είχαν	γιλέκκα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	που	PRON	ADP	γιλέκκα	ήταν	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	την	DET	PRON	που	Κύπρον	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	επετάξαν	VERB	NOUN	τζ̆αι	τα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	σαν	ADP	NOUN	είμαι	σ̆σ̆υλλιά	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	βρεμένα	ADJ	NOUN	σ̆σ̆υλλιά	<EOS>	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	κότσ̆ινους	ADJ	NOUN	τους	βάτραχους	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	προσεύχουμαι	VERB	NOUN	<BOS>	να	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	κερδίσω	VERB	NOUN	να	διπλά	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	διπλά	ADV	NOUN	κερδίσω	ριάλλια	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πέρκιμον	ADV	NOUN	ριάλλια	πάω	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πάω	VERB	NOUN	πέρκιμον	πούποτε	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πούποτε	ADV	NOUN	πάω	διακοπές	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	το	PRON	DET	διακοπές	πάσχα	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	με	ADP	PRON	πάσχα	την	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	εμπήκασιν	VERB	NOUN	<BOS>	μέσα	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
