fold	word	gold	pred	left_ctx	right_ctx	sentence
1	επαντρεύτηκα	Verb (lexical)	Determiner: Article	<BOS>	χωρίς	επαντρεύτηκα χωρίς τες κόρες μου
1	χωρίς	Preposition	Noun (lexical)	επαντρεύτηκα	τες	επαντρεύτηκα χωρίς τες κόρες μου
1	τες	Determiner: Article	Pronoun	χωρίς	κόρες	επαντρεύτηκα χωρίς τες κόρες μου
1	υποτίθεται	Modal Verb	Verb (lexical)	<BOS>	εν	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	αγνώστους	Noun (lexical)	Lexical Adverb	εμπιστεύκεσαι	μετά	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	μετά	Lexical Adverb	Function Adverb	αγνώστους	που	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	που	Pronoun	Preposition	κακόν	έπαθες	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	έπαθες	Verb (lexical)	Determiner: Article	που	πέρσι	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	πέρσι	Lexical Adverb	Noun (lexical)	έπαθες	στο	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	έφερεν	Verb (lexical)	Other Particle	<BOS>	μια	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	μια	Determiner: Article	Verb (lexical)	έφερεν	δεκάδα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	δεκάδα	Numeral Noun	Determiner: Article	μια	τομάτες	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	την	Pronoun	Determiner: Article	για	σαλάτα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	πρέπει	Modal Verb	Verb (lexical)	<BOS>	να	πρέπει να ακούεις της θείας σου
1	της	Pronoun	Determiner: Article	ακούεις	θείας	πρέπει να ακούεις της θείας σου
1	εσπουδάσαμεν	Verb (lexical)	Copula Verb	<BOS>	μαζίν	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	μαζίν	Lexical Adverb	Function Adverb	εσπουδάσαμεν	αφού	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	αφού	Subordinating Conjunction	Determiner: Article	μαζίν	επροσφέρθηκεν	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	επροσφέρθηκεν	Verb (lexical)	Noun (lexical)	αφού	μας	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	νναι	Affirmative Particle	Verb (lexical)	<BOS>	<EOS>	νναι
1	πρέπει	Modal Verb	Verb (lexical)	εννά	να	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	να	Subordinating Conjunction	Complimentiser	πρέπει	το	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	καθαρίσουμεν	Verb (lexical)	Copula Verb	το	ύστερα	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	ύστερα	Function Adverb	Adjective (lexical)	καθαρίσουμεν	τζ̆αι	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	βαρκούμαι	Verb (lexical)	Noun (lexical)	εγώ	<EOS>	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	κάθονται	Verb (lexical)	Pronoun	παπάς	τζ̆αι	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	διαβάζουν	Verb (lexical)	Determiner: Article	τζ̆αι	παραμύθιν	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	επήεν	Verb (lexical)	Pronoun	μάμμα	με	έφυεν η μάμμα επήεν με το αυτοκίνητον
