fold	word	gold	pred	left_ctx	right_ctx	sentence
1	επαντρεύτηκα	Verb (lexical)	Noun (lexical)	<BOS>	χωρίς	επαντρεύτηκα χωρίς τες κόρες μου
1	χωρίς	Preposition	Noun (lexical)	επαντρεύτηκα	τες	επαντρεύτηκα χωρίς τες κόρες μου
1	τες	Determiner: Article	Pronoun	χωρίς	κόρες	επαντρεύτηκα χωρίς τες κόρες μου
1	υποτίθεται	Modal Verb	Noun (lexical)	<BOS>	εν	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εν	Negation Particle	Copula Verb	υποτίθεται	εμπιστεύκεσαι	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εμπιστεύκεσαι	Verb (lexical)	Noun (lexical)	εν	αγνώστους	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	μετά	Lexical Adverb	Function Adverb	αγνώστους	που	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	που	Pronoun	Preposition	κακόν	έπαθες	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	πέρσι	Lexical Adverb	Noun (lexical)	έπαθες	στο	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	μια	Determiner: Article	Noun (lexical)	έφερεν	δεκάδα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	δεκάδα	Numeral Noun	Noun (lexical)	μια	τομάτες	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	την	Pronoun	Determiner: Article	για	σαλάτα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	πρέπει	Modal Verb	Verb (lexical)	<BOS>	να	πρέπει να ακούεις της θείας σου
1	να	Subordinating Conjunction	Complimentiser	πρέπει	ακούεις	πρέπει να ακούεις της θείας σου
1	ακούεις	Verb (lexical)	Noun (lexical)	να	της	πρέπει να ακούεις της θείας σου
1	της	Pronoun	Determiner: Article	ακούεις	θείας	πρέπει να ακούεις της θείας σου
1	μαζίν	Lexical Adverb	Function Adverb	εσπουδάσαμεν	αφού	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	αφού	Subordinating Conjunction	Noun (lexical)	μαζίν	επροσφέρθηκεν	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	νναι	Affirmative Particle	Noun (lexical)	<BOS>	<EOS>	νναι
1	πρέπει	Modal Verb	Verb (lexical)	εννά	να	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	το	Pronoun	Determiner: Article	να	καθαρίσουμεν	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	ύστερα	Function Adverb	Noun (lexical)	καθαρίσουμεν	τζ̆αι	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	βαρκούμαι	Verb (lexical)	Noun (lexical)	εγώ	<EOS>	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	κάθονται	Verb (lexical)	Noun (lexical)	παπάς	τζ̆αι	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	διαβάζουν	Verb (lexical)	Noun (lexical)	τζ̆αι	παραμύθιν	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	με	Subordinating Conjunction	Preposition	επήεν	το	έφυεν η μάμμα επήεν με το αυτοκίνητον
1	νίφκεται	Verb (lexical)	Noun (lexical)	<BOS>	με	νίφκεται με νερόν τζ̆αι σαπούνιν
1	εγέμισε	Verb (lexical)	Noun (lexical)	του	λάσπες	το παντελόνιν του εγέμισε λάσπες
1	κάθε	Pronoun	Determiner: Quantifier	γυμναστής	μέρα	ο γυμναστής κάθε μέρα τρώει γλυκά αλλά εν βάλλει κιλά διότι πάει στο γυμναστήριο
1	την 	Determiner: Article	Noun (lexical)	που	αυλή	ο λαγός τρώει χόρτα που την  αυλή μας στο βουνό
1	που	Pronoun	Preposition	πουλί	ήταν	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	ήταν	Verb (lexical)	Auxiliary Verb	που	την 	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	την 	Determiner: Article	Noun (lexical)	ήταν	άλλη	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
1	πλέον	Lexical Adverb	Noun (lexical)	βρίσκει	νερόν	το πουλί που ήταν την  άλλη φορά στο σπίτι μου εσταμάτησεν να έρκεται επειδή εν βρίσκει πλέον νερόν
2	είχαν	Verb (lexical)	Noun (lexical)	<BOS>	έντεκα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	έντεκα	Numeral Adjective	Noun (lexical)	είχαν	γιλέκκα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	που	Pronoun	Preposition	γιλέκκα	ήταν	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	ήταν	Auxiliary Verb	Verb (lexical)	που	που	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	την	Determiner: Article	Pronoun	που	Κύπρον	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	επετάξαν	Verb (lexical)	Noun (lexical)	τζ̆αι	τα	είχαν έντεκα γιλέκκα που ήταν που την Κύπρον τζ̆αι επετάξαν τα
2	σαν	Preposition	Noun (lexical)	είμαι	σ̆σ̆υλλιά	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	βρεμένα	Adjective (lexical)	Noun (lexical)	σ̆σ̆υλλιά	<EOS>	είμαι σαν σ̆σ̆υλλιά βρεμένα
2	αναζητώντας	Gerund	Noun (lexical)	επέθανεν	τους	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	κότσ̆ινους	Adjective (lexical)	Noun (lexical)	τους	βάτραχους	ο Μάριος επέθανεν αναζητώντας τους κότσ̆ινους βάτραχους τζ̆αι τους μπλε κύκνους
2	προσεύχουμαι	Verb (lexical)	Noun (lexical)	<BOS>	να	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	κερδίσω	Verb (lexical)	Noun (lexical)	να	διπλά	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	διπλά	Numeral Adverb	Noun (lexical)	κερδίσω	ριάλλια	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πέρκιμον	Function Adverb	Noun (lexical)	ριάλλια	πάω	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πάω	Verb (lexical)	Noun (lexical)	πέρκιμον	πούποτε	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	πούποτε	Lexical Adverb	Noun (lexical)	πάω	διακοπές	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	το	Pronoun	Determiner: Article	διακοπές	πάσχα	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	με	Preposition	Pronoun	πάσχα	την	προσεύχουμαι να κερδίσω διπλά ριάλλια πέρκιμον πάω πούποτε διακοπές το πάσχα με την Κωνσταντίνα
2	εμπήκασιν	Verb (lexical)	Noun (lexical)	<BOS>	μέσα	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	μέσα	Lexical Adverb	Noun (lexical)	εμπήκασιν	στο	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	απίστευτον	Adjective (lexical)	Noun (lexical)	στο	πλοίον	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	αφούτις	Subordinating Conjunction	Noun (lexical)	καπετάνιου	επληρώσαμεν	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	λλόου	Pronoun	Noun (lexical)	για	τους	εμπήκασιν μέσα στο απίστευτον πλοίον του καπετάνιου αφούτις επληρώσαμεν για λλόου τους
2	κάμποσες	Determiner: Quantifier	Noun (lexical)	έχω	κλάτσες	έχω κάμποσες κλάτσες για τον Σεπτέμβρη
2	είσ̆εν	Verb (lexical)	Auxiliary Verb	<BOS>	πολλά	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	πολλά	Adjective (lexical)	Lexical Adverb	είσ̆εν	παιχνίδια	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	την	Determiner: Article	Pronoun	με	μάμμα	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	τον	Determiner: Article	Pronoun	και	παπάν	είσ̆εν πολλά παιχνίδια με την μάμμα και τον παπάν μου
2	τους 	Pronoun	Noun (lexical)	σπίτκια	εν	τα σπίτκια τους  εν δίπλα τζ̆αι παίζουν το απόγευμαν
2	δίπλα	Function Adverb	Noun (lexical)	εν	τζ̆αι	τα σπίτκια τους  εν δίπλα τζ̆αι παίζουν το απόγευμαν
2	πλύννω	Verb (lexical)	Noun (lexical)	εννά	τα	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	μετά	Function Adverb	Lexical Adverb	μου	με	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	την	Determiner: Article	Pronoun	με	οδοντόπαστα	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	την	Determiner: Article	Pronoun	και	οδοντόβουρτσα	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	να	Complimentiser	Subordinating Conjunction	οδοντόβουρτσα	είναι	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	είναι	Copula Verb	Noun (lexical)	να	καθαρά	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	καθαρά	Adjective (lexical)	Noun (lexical)	είναι	τζ̆αι	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	άσπρα	Adjective (lexical)	Noun (lexical)	τζ̆αι	<EOS>	εννά πλύννω τα δόντια μου μετά με την οδοντόπαστα και την οδοντόβουρτσα να είναι καθαρά τζ̆αι άσπρα
2	πονεί	Verb (lexical)	Noun (lexical)	εννά	τζ̆αι	εννά πονεί τζ̆αι εννά κλέει
2	εν	Copula Verb	Negation Particle	<BOS>	που	εν που το σούπερμαρκετ
2	είσ̆ες	Verb (lexical)	Noun (lexical)	<BOS>	τζ̆αι	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	ένα	Numeral Adjective	Adjective (lexical)	τζ̆αι	πουκάμισο	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	όπως	Function Adverb	Lexical Adverb	πουκάμισο	του	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	του	Determiner: Article	Pronoun	όπως	παπά	είσ̆ες τζ̆αι ένα πουκάμισο όπως του παπά μου
2	αρρώστησε	Verb (lexical)	Noun (lexical)	κύριος	<EOS>	ο κύριος αρρώστησε
3	είσαι	Copula Verb	Noun (lexical)	<BOS>	ένας	είσαι ένας λεβεντάθρωπος
3	ένας	Determiner: Article	Verb (lexical)	είσαι	λεβεντάθρωπος	είσαι ένας λεβεντάθρωπος
3	εδουλεύκασιν	Verb (lexical)	Noun (lexical)	<BOS>	διότι	εδουλεύκασιν διότι εν έχουν ψωμίν να φαν
3	φαν	Verb (lexical)	Noun (lexical)	να	<EOS>	εδουλεύκασιν διότι εν έχουν ψωμίν να φαν
3	εν	Copula Verb	Negation Particle	του	πορτοκκαλλιά	τα πόδια του εν πορτοκκαλλιά
3	πορτοκκαλλιά	Adjective (lexical)	Noun (lexical)	εν	<EOS>	τα πόδια του εν πορτοκκαλλιά
3	θέλω	Verb (lexical)	Noun (lexical)	<BOS>	σοκολάτες	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	μαζίν	Function Adverb	Lexical Adverb	παίξουμεν	<EOS>	θέλω σοκολάτες να φάμεν τζ̆αι άλλα παιχνίθκια να παίξουμεν μαζίν
3	επήα	Verb (lexical)	Noun (lexical)	εν	εν	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	πήραν	Verb (lexical)	Noun (lexical)	με	ο	εν επήα εν με πήραν ο παππούς τζ̆αι η γιαγιά
3	ποιον	Preposition	Noun (lexical)	<BOS>	μωρόν	ποιον μωρόν έπαιξεν τζ̆αι ανακάτεψεν τα ούλλα
