fold	word	gold	pred	left_ctx	right_ctx	sentence
1	επαντρεύτηκα	VERB	DET	<BOS>	χωρίς	επαντρεύτηκα χωρίς τες κόρες μου
1	χωρίς	ADP	NOUN	επαντρεύτηκα	τες	επαντρεύτηκα χωρίς τες κόρες μου
1	τες	DET	PRON	χωρίς	κόρες	επαντρεύτηκα χωρίς τες κόρες μου
1	υποτίθεται	VERB	PART	<BOS>	εν	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εν	PART	VERB	υποτίθεται	εμπιστεύκεσαι	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	εμπιστεύκεσαι	VERB	SCONJ	εν	αγνώστους	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	αγνώστους	NOUN	VERB	εμπιστεύκεσαι	μετά	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	που	PRON	ADP	κακόν	έπαθες	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	έπαθες	VERB	DET	που	πέρσι	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	πέρσι	ADV	NOUN	έπαθες	στο	υποτίθεται εν εμπιστεύκεσαι αγνώστους μετά που το κακόν που έπαθες πέρσι στο χωρκόν του αρφού σου
1	έφερεν	VERB	PART	<BOS>	μια	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	μια	DET	VERB	έφερεν	δεκάδα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	δεκάδα	NOUN	DET	μια	τομάτες	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	την	PRON	DET	για	σαλάτα	έφερεν μια δεκάδα τομάτες για την σαλάτα μας
1	της	PRON	DET	ακούεις	θείας	πρέπει να ακούεις της θείας σου
1	αφού	SCONJ	ADJ	μαζίν	επροσφέρθηκεν	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	επροσφέρθηκεν	VERB	NOUN	αφού	μας	εσπουδάσαμεν μαζίν αφού επροσφέρθηκεν μας υποτροφία
1	νναι	PART	VERB	<BOS>	<EOS>	νναι
1	καθαρίσουμεν	VERB	ADJ	το	ύστερα	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	ύστερα	ADV	NOUN	καθαρίσουμεν	τζ̆αι	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	βαρκούμαι	VERB	NOUN	εγώ	<EOS>	εννά πρέπει να το καθαρίσουμεν ύστερα τζ̆αι εγώ βαρκούμαι
1	κάθονται	VERB	PRON	παπάς	τζ̆αι	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	διαβάζουν	VERB	DET	τζ̆αι	παραμύθιν	η μάμμα τζ̆αι ο παπάς κάθονται τζ̆αι διαβάζουν παραμύθιν
1	επήεν	VERB	PRON	μάμμα	με	έφυεν η μάμμα επήεν με το αυτοκίνητον
1	με	SCONJ	ADP	επήεν	το	έφυεν η μάμμα επήεν με το αυτοκίνητον
1	σαπούνιν	NOUN	VERB	τζ̆αι	<EOS>	νίφκεται με νερόν τζ̆αι σαπούνιν
1	εγέμισε	VERB	NOUN	του	λάσπες	το παντελόνιν του εγέμισε λάσπες
